,name,github_id,pypi_id,conda_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,pypi,gem_id,hex_id,bitbucket_id
66,ipysheet,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000000,2020-12-11 01:50:40.000000,2020-04-30 08:50:34.000000,47.0,53.0,45.0,374.0,282.0,2020-04-30 08:53:17.000000,0.4.4,,10495.0,21.0,Jupyter handsontable integration.,12.0,3.0,8.0,21,https://pypi.org/project/ipysheet,MIT,2020-04-30 08:53:17.000000,9.0,5596.0,https://anaconda.org/conda-forge/ipysheet,2020-10-12 16:07:52.593000,26452.0,True,widgets,2,,,,,,ipysheet,https://www.npmjs.com/package/ipysheet,2020-04-30 08:49:24.146000,,3797.0,,,,,,,
67,Kernel Gateway,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter/kernel_gateway,https://github.com/jupyter/kernel_gateway,2015-09-21 15:34:11.000000,2020-09-29 21:19:31.000000,2020-09-29 21:19:30.000000,99.0,12.0,149.0,328.0,537.0,2020-08-18 18:00:44.000000,2.4.3,69.0,16717.0,26.0,Jupyter Kernel Gateway.,6.0,,36.0,21,https://pypi.org/project/jupyter-kernel-gateway,BSD-3-Clause,2020-08-18 17:56:44.000000,6.0,16715.0,,,,True,kernels,1,,,,,,,,,,,,,,,,,
68,sos,vatlab/SOS,,,https://github.com/vatlab/sos,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2020-12-24 18:02:13.000000,2020-12-24 18:02:09.000000,24.0,51.0,1340.0,191.0,7486.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,SoS workflow system for daily data analysis.,389.0,389.0,33.0,21,,BSD-3-Clause,,,,,,,True,notebook-environments,3,,,,,,,,,,,,,,,,,
69,Jupyter Sphinx,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2020-10-29 20:16:45.000000,2020-10-29 20:16:43.000000,34.0,29.0,66.0,98.0,327.0,2020-09-21 17:37:11.000000,0.3.2,,15534.0,8.0,Sphinx extension for rendering of Jupyter interactive widgets.,17.0,,21.0,21,https://pypi.org/project/jupyter_sphinx,BSD-3-Clause,2018-08-06 23:12:20.000000,17.0,15534.0,,,,True,notebook-tools,2,,,,,,,,,,,,,,,,,
70,Knowledge Repo,airbnb/knowledge-repo,knowledge-repo,,https://github.com/airbnb/knowledge-repo,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000000,2020-11-24 21:03:41.000000,2020-11-24 21:03:40.000000,607.0,125.0,158.0,4596.0,570.0,2020-05-22 17:48:59.000000,0.8.9,,324.0,29.0,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,1.0,,57.0,20,https://pypi.org/project/knowledge-repo,Apache-2.0,2020-05-22 17:48:59.000000,1.0,324.0,,,,True,notebook-sharing,3,,,,,,,,,,,,,,,,,
71,Hydrogen,nteract/hydrogen,,,https://github.com/nteract/hydrogen,https://github.com/nteract/hydrogen,2015-05-11 01:16:55.000000,2020-12-10 23:57:07.000000,2020-10-15 18:24:53.000000,316.0,132.0,1047.0,3649.0,2162.0,2020-10-15 19:50:11.000000,2.14.6,,,81.0,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",,,84.0,20,,MIT,,,,,,,True,notebook-environments,3,,,,,,,,,,,,,,,,,
72,gophernotes,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000000,2020-10-28 18:05:00.000000,2020-10-28 18:04:49.000000,186.0,38.0,114.0,2746.0,377.0,2020-07-22 09:44:18.000000,0.7.1,36.0,1367.0,13.0,The Go kernel for Jupyter notebooks and nteract.,,,26.0,20,,MIT,,,,,,,True,kernels,2,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,5.0,82053.0,,,,,,,,github.com/gopherdata/gophernotes,,,,
73,elyra,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2020-12-31 19:01:13.000000,2020-12-31 19:01:12.000000,110.0,141.0,550.0,742.0,758.0,2020-12-14 22:47:14.000000,1.5.2,,886.0,35.0,Elyra extends JupyterLab Notebooks with an AI centric approach.,12.0,12.0,15.0,20,https://pypi.org/project/elyra,Apache-2.0,2020-12-14 22:47:14.000000,0.0,597.0,https://anaconda.org/conda-forge/elyra,2020-12-15 01:45:19.706000,1447.0,True,lab-extensions,2,,,,,,,,,,,,,,,,,
74,Mapbox GL,mapbox/mapboxgl-jupyter,mapboxgl,,https://github.com/mapbox/mapboxgl-jupyter,https://github.com/mapbox/mapboxgl-jupyter,2017-08-08 15:10:51.000000,2019-12-13 22:49:07.000000,2019-12-03 21:57:25.000000,117.0,34.0,67.0,550.0,220.0,2019-06-03 21:24:10.000000,0.10.2,,5859.0,20.0,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,105.0,87.0,20.0,20,https://pypi.org/project/mapboxgl,MIT,2019-06-02 15:18:57.000000,18.0,5859.0,,,,False,widgets,2,,,,,,,,,,,,,,,,,
75,pivottablejs,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,https://github.com/nicolaskruchten/jupyter_pivottablejs,2015-09-09 13:39:18.000000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25.000000,53.0,16.0,37.0,409.0,32.0,2018-01-15 18:14:37.000000,0.9.0,,8441.0,10.0,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook, care of PivotTable.js.",150.0,136.0,3.0,20,https://pypi.org/project/pivottablejs,MIT,2018-01-15 18:14:37.000000,14.0,8441.0,,,,False,widgets,2,,,,,,,,,,,,,,,,,
