,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
130,jupyter-tabnine,Autocompletion with Deep Learning on Jupyter Notebook.,https://github.com/codota/jupyter-tabnine,,jupyter-extensions,18,True,codota/jupyter-tabnine,jupyter-tabnine,,https://github.com/codota/jupyter-tabnine,2019-09-07 00:30:49.000000,2021-08-23 11:45:07.000000,2021-08-23 11:44:08.000000,99.0,42.0,24.0,714.0,105.0,2021-08-23 11:45:07.000000,1.2.3,,5143.0,8.0,,,10.0,https://pypi.org/project/jupyter-tabnine,MIT,2021-08-23 11:45:07.000000,,5143.0,,,,3.0,,,,,,,,,,,,,,,,,,
131,Bash Kernel,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,18,False,takluyver/bash_kernel,bash_kernel,,https://github.com/takluyver/bash_kernel,2014-06-27 00:27:25.000000,2020-01-27 10:39:24.000000,2019-07-22 16:06:53.000000,109.0,37.0,53.0,561.0,86.0,2019-07-22 16:07:09.000000,0.7.2,2837.0,4982.0,10.0,42.0,,13.0,https://pypi.org/project/bash_kernel,BSD-3-Clause,2019-07-22 16:07:09.000000,42.0,4940.0,,,,3.0,,,,,,,,,,,,,,,,,,
132,jupyter-notify,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,18,True,ShopRunner/jupyter-notify,jupyternotify,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000000,2021-04-27 16:57:08.000000,2021-04-27 14:56:38.000000,32.0,11.0,11.0,537.0,,2018-01-08 14:52:15.000000,0.1.15,,1804.0,14.0,72.0,70.0,11.0,https://pypi.org/project/jupyternotify,BSD-3-Clause,2018-01-08 14:52:15.000000,2.0,1804.0,,,,3.0,,,,,,,,,,,,,,,,,,
133,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,18,True,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000000,2021-03-05 18:39:25.000000,2021-03-05 18:39:24.000000,48.0,13.0,29.0,475.0,208.0,2018-12-12 18:30:14.000000,0.9.0,,2077.0,10.0,8.0,8.0,9.0,https://pypi.org/project/ansible-kernel,Apache-2.0,2018-12-12 18:30:14.000000,,130.0,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230000,8070.0,3.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66395.0,,,,,,,,,,,,,
134,GPU Dashboards,A JupyterLab extension for displaying dashboards of GPU usage.,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,18,True,rapidsai/jupyterlab-nvdashboard,jupyterlab-nvdashboard,,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000000,2021-09-15 18:14:33.000000,2021-09-03 14:38:41.000000,46.0,23.0,28.0,417.0,,2021-05-25 18:05:21.000000,0.6.0,,15724.0,98.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,BSD-3-Clause,2021-09-15 18:14:33.000000,,4226.0,,,,2.0,,,,,,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,2021-04-27 07:19:46.929000,,11498.0,,,,,,,,
135,Matlab Kernel,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,18,True,calysto/matlab_kernel,matlab_kernel,,https://github.com/Calysto/matlab_kernel,2015-01-31 12:51:06.000000,2021-09-14 19:55:27.000000,2020-11-09 20:41:43.000000,71.0,26.0,100.0,404.0,210.0,2018-11-30 21:07:39.000000,0.16.1,,1299.0,44.0,1.0,,17.0,https://pypi.org/project/matlab_kernel,BSD-3-Clause,2018-11-30 21:07:39.000000,1.0,1299.0,,,,3.0,,,,,,,,,,,,,,,,,,
136,nb_conda_kernels,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,True,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,2015-12-10 16:11:42.000000,2021-10-04 11:38:56.000000,2020-11-30 15:55:07.000000,54.0,33.0,95.0,398.0,335.0,2020-09-05 22:35:32.000000,2.3.0,,7583.0,11.0,,,14.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/nb_conda_kernels,2021-01-30 00:58:02.504000,485337.0,3.0,,,,,,,,,,,,,,,,,,
137,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,True,jupyterlab/jupyterlab-google-drive,,,https://github.com/jupyterlab/jupyterlab-google-drive,2016-12-17 01:40:45.000000,2021-08-10 23:33:48.000000,2021-08-10 23:33:46.000000,71.0,40.0,65.0,348.0,513.0,2020-05-27 00:10:19.202000,2.0.0,,3792.0,32.0,2.0,2.0,14.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,2020-05-27 00:10:19.202000,,3792.0,,,,,,,,
138,LFortran,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit pull requests (PR) there. Any PR sent here will..,https://github.com/lfortran/lfortran,,kernels,18,True,lfortran/lfortran,lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000000,2021-10-07 01:26:17.000000,2021-10-07 01:25:56.000000,14.0,,,277.0,7417.0,2020-07-31 19:39:55.000000,0.3.0,,1149.0,12.0,,,19.0,https://pypi.org/project/lfortran,MIT,2020-07-31 19:39:55.000000,,87.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722000,28690.0,3.0,,,,,,,,,,,,,,,,,,
139,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,18,True,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000000,2020-10-08 09:00:07.000000,2020-10-08 09:00:06.000000,22.0,2.0,9.0,270.0,56.0,2019-11-28 16:00:27.000000,0.1.3,,5996.0,4.0,36.0,34.0,4.0,https://pypi.org/project/treon,MIT,2019-11-28 16:00:27.000000,2.0,5996.0,,,,3.0,,,,,,,,,,,,,,,,,,
