,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
261,Hash Authenticator,Authenticate users with passwords generated from their username.,https://github.com/thedataincubator/jupyterhub-hashauthenticator,,hub-auth,10,False,thedataincubator/jupyterhub-hashauthenticator,jupyterhub-hashauthenticator,,https://github.com/thedataincubator/jupyterhub-hashauthenticator,2017-08-18 19:18:33.000000,2018-03-16 00:00:39.000000,2018-03-15 23:58:54.000000,3.0,,,3.0,37.0,,,,33.0,5.0,,,3.0,https://pypi.org/project/jupyterhub-hashauthenticator,BSD-3-Clause,2018-03-16 00:00:39.000000,,33.0,,,,3.0,,,,,,,,,,,,,,,,,,
262,Vision UI,UI visual interface for fastai - now compatible with Google Colab.,https://github.com/asvcode/Vision_UI,,widgets,9,False,asvcode/Vision_UI,,,https://github.com/asvcode/Vision_UI,2019-05-23 04:53:03.000000,2020-07-05 04:00:59.000000,2020-07-05 04:00:59.000000,31.0,1.0,2.0,243.0,112.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
263,evidently,Interactive reports to analyze machine learning models during validation or production monitoring.,https://github.com/evidentlyai/evidently,,widgets,9,False,evidentlyai/evidently,,,https://github.com/evidentlyai/evidently,2020-11-25 15:20:08.000000,2021-02-03 19:00:16.000000,2021-02-03 19:00:15.000000,9.0,,4.0,193.0,,,,,,,2.0,2.0,3.0,,Apache-2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
264,Keberos Authenticator,A JupyterHub authenticator using Kerberos.,https://github.com/jupyterhub/kerberosauthenticator,,hub-auth,9,False,jupyterhub/kerberosauthenticator,jupyterhub-kerberosauthenticator,,https://github.com/jupyterhub/kerberosauthenticator,2019-04-17 18:01:36.000000,2019-07-16 16:57:42.000000,2019-07-16 16:57:24.000000,3.0,2.0,2.0,9.0,21.0,2019-07-01 16:04:40.000000,0.2.0,,15.0,2.0,,,2.0,https://pypi.org/project/jupyterhub-kerberosauthenticator,BSD-3-Clause,2019-07-01 16:04:40.000000,,15.0,,,,3.0,,,,,,,,,,,,,,,,,,
265,JupyterLab Spark,Spark Application UI extension for JupyterLab.,https://github.com/manuzhang/jupyterlab_spark,,lab-extensions,9,False,manuzhang/jupyterlab_spark,,,https://github.com/manuzhang/jupyterlab_spark,2019-04-20 06:31:59.000000,2020-09-11 15:50:30.000000,2020-09-11 15:50:22.000000,1.0,1.0,3.0,6.0,18.0,2020-07-05 07:47:50.613000,0.3.1,,40.0,3.0,,,2.0,,Apache-2.0,,,,,,,3.0,,,,,,jupyterlab_spark,https://www.npmjs.com/package/jupyterlab_spark,2020-07-05 07:47:50.613000,,40.0,,,,,,,,
266,Jupyter Black,Black formatter for Jupyter Notebook.,https://github.com/drillan/jupyter-black,,jupyter-extensions,8,True,drillan/jupyter-black,,,https://github.com/drillan/jupyter-black,2018-08-10 05:21:02.000000,2020-02-01 03:27:05.000000,2020-02-01 03:27:04.000000,11.0,8.0,10.0,317.0,10.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,
267,Jupter-Notebook-REST-API,Run your jupyter notebooks as a REST API endpoint. This isn't a jupyter server but rather just a way to run your..,https://github.com/Invictify/Jupter-Notebook-REST-API,,notebook-tools,7,False,Invictify/Jupter-Notebook-REST-API,,,https://github.com/Invictify/Jupter-Notebook-REST-API,2020-03-31 22:48:04.000000,2021-02-02 22:35:07.000000,2020-03-31 23:00:06.000000,3.0,,,22.0,2.0,,,,,,,,2.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,
268,jupyterterminals,Jupyter plugin to support inline terminal shells along with buttons to control them.,https://github.com/willkessler/jupyterterminals,,jupyter-extensions,7,False,willkessler/jupyterterminals,,,https://github.com/willkessler/jupyterterminals,2020-03-08 16:36:18.000000,2020-07-20 01:53:47.000000,2020-04-28 05:44:18.000000,1.0,,1.0,7.0,39.0,,,,,,1.0,1.0,,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,
269,kernel-relay,kernel-relay is a GraphQL service for interfacing with one or more Jupyter kernels.,https://github.com/nteract/kernel-relay,,kernels,6,False,nteract/kernel-relay,,,https://github.com/nteract/kernel-relay,2019-02-04 21:12:54.000000,2020-12-11 14:23:18.000000,2019-07-10 04:14:14.000000,4.0,10.0,2.0,9.0,12.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
270,SSH Authenticator,A simple SSH authenticator for JupyterHub.,https://github.com/andreas-h/sshauthenticator,,hub-auth,6,False,andreas-h/sshauthenticator,,,https://github.com/andreas-h/sshauthenticator,2019-09-03 10:20:22.000000,2019-09-03 15:17:32.000000,2019-09-03 15:17:07.000000,1.0,,,4.0,4.0,,,,,,,,,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,
271,ssh_ipykernel,A remote jupyter kernel via ssh.,https://github.com/bernhard-42/ssh_ipykernel,,kernels,5,False,bernhard-42/ssh_ipykernel,,,https://github.com/bernhard-42/ssh_ipykernel,2019-09-01 17:43:26.000000,2020-10-30 12:56:35.000000,2020-05-26 17:32:26.000000,1.0,,,2.0,73.0,,,,,,,,2.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,
